work,word,count,total,fpm,source_id,title,author,pub_date
815,ballad,35,117534,297.7861725117838,hvd.32044004825881,Sketches of the poetical literature of the past half-century in six lectures,"Moir, D. M. (David Macbeth), 1798-1851",1851
4880,ballad,40,134638,297.09294552800844,wu.89099138885,"The home book of verse; American and English, 1580-1912,","Stevenson, Burton Egbert, 1872-1962, comp",1915
1617,ballad,12,40403,297.00764794693464,mdp.39015030934759,English versification for the use of students,"Parsons, James Challis, 1833-1897",1891
1667,ballad,23,78324,293.65200960114396,mdp.39015030869450,A study of poetry.,"Perry, Bliss, 1860-1954",1920
4387,ballad,24,81788,293.4415806719812,uc1.$b258158,"Writing and speaking,","Baldwin, Charles Sears, 1867-1935",1911
1249,ballad,68,233176,291.62521014169556,mdp.39015060430108,"Metrical Form of the Epic, as Discussed by Sixteenth- Century Critics","Williams, Ralph C",1921
4154,ballad,28,96476,290.2276213773374,uc1.$b312189,"A New Study of English Poetry, II: Poetry and Rhythm","Newbolt, Henry.",1919
923,ballad,12,41850,286.7383512544803,loc.ark:/13960/t9378840r,Lectures on English poets.,"Lowell, James Russell, 1819-1891",1897
872,ballad,9,31464,286.0411899313501,inu.30000104324383,Book-song :,,1893
3934,ballad,91,320185,284.21069069444223,uc1.b3310823,The English poets;,"Ward, Thomas Humphry, 1845-1926",1880
2364,ballad,28,98563,284.08226210647,njp.32101071987570,The Glasgow poets :,,1903
4178,ballad,2,7068,282.9654782116582,uc1.$b307929,"Lesson studies,","Brooks, Mabel Frances",1920
1835,ballad,38,134581,282.3578365445345,mdp.39015016456413,"The home book of verse, American and English, 1580-1912,","Stevenson, Burton Egbert, 1872-1962. comp",1912
1009,ballad,15,53269,281.58966753646587,loc.ark:/13960/t3gx4vv86,Longer narrative poems,"Hale, Edward Everett, Jr., 1863-1932",1902
4337,ballad,2,7354,271.9608376393799,uc1.$b261606,"The art of verse making,","Jordan, Modeste Hannis",1915
135,ballad,67,247377,270.84167081014,hvd.hxe6c3,A Type of Blank Verse Line Found in the Earlier Elizabethan Drama,"Hubbard, Frank G.",1917
5035,ballad,18,68709,261.97441383224907,mdp.39015003937433,"The speaking of English verse,","Fogerty, Elsie, 1865-1945",1923
3222,ballad,31,118988,260.5304736612095,nyp.33433076027386,English verse;,"Alden, Raymond Macdonald, 1873-1924",1903
1791,ballad,35,134691,259.85403627562346,mdp.39015019951162,"Appreciations of poetry,","Hearn, Lafcadio, 1850-1904",1916
1097,ballad,35,134895,259.46106230772085,mdp.39015081328455,"Appreciations of poetry,","Hearn, Lafcadio, 1850-1904",1916
2675,ballad,31,119539,259.32959117944773,nnc1.0055067760,English verse;,"Alden, Raymond Macdonald, 1873-1924, ed",1922
